Date,USD,EUR
1986-10-03,436.0,389.89
1986-10-06,436.9,389.83
1986-10-07,436.0,390.52
1986-10-08,438.1,391.71
1986-10-09,435.75,390.91
1986-10-10,430.75,382.98
1986-10-13,432.6,383.43
1986-10-14,428.8,379.26
1986-10-15,422.0,372.76
1986-10-16,425.5,376.47
1986-10-17,419.25,371.26
1986-10-20,425.0,378.24
1986-10-21,425.1,378.8
1986-10-22,425.0,378.13
1986-10-23,423.4,378.5
1986-10-24,410.5,373.34
1986-10-27,409.75,375.47
1986-10-28,410.7,373.92
1986-10-29,405.8,368.31
1986-10-30,406.5,373.75
1986-10-31,401.0,369.82
1986-11-03,406.2,375.38
1986-11-04,408.0,375.89
1986-11-05,405.25,374.31
1986-11-06,408.55,376.92
1986-11-07,408.2,377.42
1986-11-10,410.75,376.47
1986-11-11,406.0,369.93
1986-11-12,407.0,368.99
1986-11-13,407.5,367.84
1986-11-14,408.25,367.16
1986-11-17,392.5,354.49
1986-11-18,391.0,353.1
1986-11-19,393.4,354.43
1986-11-20,389.35,350.77
1986-11-21,388.2,351.71
1986-11-24,380.5,344.73
1986-11-25,383.75,343.35
1986-11-26,383.6,342.76
1986-11-27,383.5,342.71
1986-11-28,389.5,345.5
1986-12-01,395.55,349.37
1986-12-02,389.5,345.18
1986-12-03,389.75,345.49
1986-12-04,389.25,347.79
1986-12-05,388.5,348.91
1986-12-08,389.6,351.66
1986-12-09,386.8,350.64
1986-12-10,391.5,353.36
1986-12-11,388.4,351.6
1986-12-12,391.5,354.77
1986-12-15,394.3,356.91
1986-12-16,393.1,356.25
1986-12-17,392.0,354.73
1986-12-18,390.75,352.75
1986-12-19,394.8,355.73
1986-12-22,394.15,350.74
1986-12-23,389.2,344.03
1986-12-24,389.2,344.84
1986-12-25,389.2,344.84
1986-12-26,389.2,344.84
1986-12-29,390.1,341.88
1986-12-30,388.75,341.37
1986-12-31,388.75,337.8
1987-01-01,388.75,337.8
1987-01-02,403.5,349.11
1987-01-05,398.95,347.44
1987-01-06,401.7,348.71
1987-01-07,400.4,349.7
1987-01-08,402.65,351.23
1987-01-09,402.0,349.78
1987-01-12,411.1,352.89
1987-01-13,409.0,349.82
1987-01-14,415.1,347.75
1987-01-15,416.25,348.92
1987-01-16,415.7,349.35
1987-01-19,422.25,349.15
1987-01-20,415.75,348.54
1987-01-21,407.2,342.98
1987-01-22,410.45,340.11
1987-01-23,400.0,333.06
1987-01-26,406.0,337.69
1987-01-27,411.5,339.14
1987-01-28,413.75,337.81
1987-01-29,409.7,334.79
1987-01-30,400.5,334.76
1987-02-02,406.75,335.88
1987-02-03,404.0,331.6
1987-02-04,402.8,333.17
1987-02-05,398.9,334.53
1987-02-06,402.6,340.42
1987-02-09,405.9,336.77
1987-02-10,402.85,330.45
1987-02-11,403.0,333.91
1987-02-12,402.3,334.6
1987-02-13,397.35,331.62
1987-02-16,397.25,329.82
1987-02-17,397.25,328.62
1987-02-18,390.0,325.32
1987-02-19,393.35,329.21
1987-02-20,399.75,332.98
1987-02-23,403.2,336.3
1987-02-24,399.3,333.66
1987-02-25,405.8,337.99
1987-02-26,404.1,335.71
1987-02-27,405.85,338.02
1987-03-02,404.25,337.25
1987-03-03,403.8,337.42
1987-03-04,406.55,340.1
1987-03-05,410.75,342.96
1987-03-06,406.3,340.09
1987-03-09,405.0,341.86
1987-03-10,405.6,342.53
1987-03-11,407.2,346.53
1987-03-12,409.9,347.09
1987-03-13,408.5,344.63
1987-03-16,405.3,338.97
1987-03-17,406.35,339.91
1987-03-18,404.35,337.95
1987-03-19,404.45,337.68
1987-03-20,404.45,337.59
1987-03-23,408.3,338.58
1987-03-24,409.0,339.39
1987-03-25,413.7,344.22
1987-03-26,411.0,342.52
1987-03-27,416.35,345.9
1987-03-30,424.0,348.83
1987-03-31,421.0,346.74
1987-04-01,418.75,347.27
1987-04-02,418.7,347.82
1987-04-03,418.7,346.7
1987-04-06,421.45,350.37
1987-04-07,418.5,347.89
1987-04-08,420.5,352.04
1987-04-09,421.0,350.11
1987-04-10,431.6,355.11
1987-04-13,435.9,359.3
1987-04-14,442.4,363.39
1987-04-15,444.1,365.68
1987-04-16,437.75,361.22
