DATE,OECDCPALTT01GYM
1986-07-01,6.53658366691884
1986-08-01,6.78438999584694
1986-09-01,7.02018173151661
1986-10-01,6.94111377124112
1986-11-01,6.99092072885832
1986-12-01,7.02788205272115
1987-01-01,7.01572210083866
1987-02-01,7.49186080105014
1987-03-01,8.11825956814879
1987-04-01,8.76785028489929
1987-05-01,8.97871821464054
1987-06-01,8.92892660388122
1987-07-01,9.2760258326604
1987-08-01,9.56182674096897
1987-09-01,9.65412422678999
1987-10-01,9.93386536612088
1987-11-01,10.1568576458602
1987-12-01,11.0542053530348
1988-01-01,11.1503980951783
1988-02-01,11.202124722492
1988-03-01,11.2323927851854
1988-04-01,10.9177683467247
1988-05-01,10.5815261917068
1988-06-01,10.3469421842088
1988-07-01,10.05457209372
1988-08-01,9.58665546517103
1988-09-01,9.31017794207264
1988-10-01,8.79745842268718
1988-11-01,8.29804562287239
1988-12-01,6.96428305278424
1989-01-01,6.65934897176377
1989-02-01,6.4124688868871
1989-03-01,6.22793807167005
1989-04-01,6.44378931206134
1989-05-01,6.60185026880045
1989-06-01,6.50407643295735
1989-07-01,6.41896280968562
1989-08-01,6.24361656799863
1989-09-01,6.16874680165758
1989-10-01,6.35818246599175
1989-11-01,6.27504816799159
1989-12-01,6.3560487289254
1990-01-01,6.75713373962909
1990-02-01,6.92433063875717
1990-03-01,6.94726138314765
1990-04-01,6.65514435555564
1990-05-01,6.53403139238232
1990-06-01,6.65105835091866
1990-07-01,6.61933996027667
1990-08-01,7.13855839819888
1990-09-01,7.50282932391972
1990-10-01,7.72041663538155
1990-11-01,7.8338224289361
1990-12-01,7.65089219504806
1991-01-01,7.43775770676614
1991-02-01,7.22078035025634
1991-03-01,7.03835290777008
1991-04-01,6.93010867877725
1991-05-01,6.92041035139484
1991-06-01,6.88237890939927
1991-07-01,6.90126355933752
1991-08-01,6.5220526256612
1991-09-01,6.08671304427001
1991-10-01,5.83740094862964
1991-11-01,6.01334330552754
1991-12-01,6.02911140946711
1992-01-01,5.64606608082907
1992-02-01,5.73633985527792
1992-03-01,5.92825896695858
1992-04-01,5.83331338682674
1992-05-01,5.60919282569038
1992-06-01,5.46977514748305
1992-07-01,5.22495496819891
1992-08-01,5.16808502755851
1992-09-01,5.166955931758
1992-10-01,4.93644148348317
1992-11-01,4.70262879552782
1992-12-01,4.62691872226018
1993-01-01,4.80949189976898
1993-02-01,4.77842690830672
1993-03-01,4.64400043570901
1993-04-01,4.62981178966421
1993-05-01,4.65504808141856
1993-06-01,4.60894764866941
1993-07-01,4.78288759227875
1993-08-01,4.76064089376167
1993-09-01,4.59929208709821
1993-10-01,4.57745696983526
1993-11-01,4.46753181010502
1993-12-01,4.51006132875439
1994-01-01,4.25634296410649
1994-02-01,4.2527390361699
1994-03-01,4.24554682684833
1994-04-01,4.60620929461302
1994-05-01,4.73933456316071
1994-06-01,4.763957104076
1994-07-01,4.74949617892998
1994-08-01,4.89177297039805
1994-09-01,4.9606643156384
1994-10-01,4.90673033529414
1994-11-01,5.04466929332558
1994-12-01,5.22536141795474
1995-01-01,5.46512237770548
1995-02-01,5.66886285982764
1995-03-01,5.90098098955177
1995-04-01,5.95412888709102
1995-05-01,6.0701154292883
1995-06-01,6.22656620080537
1995-07-01,6.14355145959137
1995-08-01,6.10045534294166
1995-09-01,6.29760206367389
1995-10-01,6.33702405625193
1995-11-01,6.28660785786028
1995-12-01,6.30789903875068
1996-01-01,6.38808841485436
1996-02-01,6.24319889975393
1996-03-01,6.18587152380079
1996-04-01,5.98961549978364
1996-05-01,5.90039218001254
1996-06-01,5.69489978464993
1996-07-01,5.71785129294124
1996-08-01,5.62098031220885
1996-09-01,5.50538146082326
1996-10-01,5.55145711646122
1996-11-01,5.5629237036424
1996-12-01,5.53038630162245
1997-01-01,5.3350015572672
1997-02-01,5.2184966435723
1997-03-01,4.95201550167004
1997-04-01,4.80999375780891
1997-05-01,4.64837064953848
1997-06-01,4.7072438141997
1997-07-01,4.81179956257453
1997-08-01,4.90565862635444
1997-09-01,4.93248827588913
1997-10-01,4.94315631565643
1997-11-01,4.87046939435809
1997-12-01,4.79857015370952
1998-01-01,4.70796117359302
1998-02-01,4.72108838422151
1998-03-01,4.70639653649561
1998-04-01,4.56805715908795
1998-05-01,4.60127752375664
1998-06-01,4.50574590009245
1998-07-01,4.33338328383985
1998-08-01,4.10738855493947
1998-09-01,4.01037554009848
1998-10-01,3.98904497066248
1998-11-01,3.94999642309316
1998-12-01,3.83159620702897
1999-01-01,3.65463713988128
1999-02-01,3.46357067534496
1999-03-01,3.50693546579003
1999-04-01,3.76871047469686
1999-05-01,3.60620373475138
1999-06-01,3.542094744369
1999-07-01,3.6633576071143
1999-08-01,3.82240007228193
1999-09-01,3.8893333000258
1999-10-01,3.79619018536172
1999-11-01,3.77732767272117
1999-12-01,3.91223977062621
2000-01-01,3.95481738256657
2000-02-01,4.20409231836988
2000-03-01,4.40749498404535
2000-04-01,3.91861130288112
2000-05-01,3.97250576461109
2000-06-01,4.27210086128419
2000-07-01,4.28339928698061
2000-08-01,4.05304931742353
2000-09-01,4.05432805593804
2000-10-01,3.90013702032229
2000-11-01,3.91314385205405
2000-12-01,3.76455481244146
2001-01-01,3.78071329012845
2001-02-01,3.65389269010667
2001-03-01,3.43736348079876
2001-04-01,3.93556650406633
2001-05-01,4.27393168519533
2001-06-01,4.09322520354554
2001-07-01,3.69209874238619
2001-08-01,3.72175985383175
2001-09-01,3.65268856217002
2001-10-01,3.48230491895798
2001-11-01,3.23848042135269
2001-12-01,3.11337049846748
2002-01-01,3.11927068198952
2002-02-01,3.03155812998184
2002-03-01,3.11623447633234
2002-04-01,2.95719148114453
2002-05-01,2.56119715457347
2002-06-01,2.40273136207988
2002-07-01,2.570103028607
2002-08-01,2.70634007355396
2002-09-01,2.52992613614589
2002-10-01,2.70005234975143
2002-11-01,2.83616165814079
2002-12-01,2.8598481771725
